Date,Close,High,Low,Open,Volume
2010-01-01,2.7015674114227295,2.7015674114227295,2.7015674114227295,2.7015674114227295,0
2010-01-04,2.713791847229004,2.726016518046186,2.664894388049274,2.6893434236613887,5594718
2010-01-05,2.89715576171875,2.9338285458617457,2.7626883764907406,2.774913045901359,11165434
2010-01-06,2.9093809127807617,2.9216049734564415,2.8849324854071043,2.897156546082784,3897700
2010-01-07,2.89715576171875,2.9093801251071536,2.8727073409641575,2.89715576171875,3662297
2010-01-08,2.89715576171875,2.9216041824733425,2.884931704352561,2.89715576171875,5993209
2010-01-11,2.8115859031677246,2.860482745948612,2.7993615394613913,2.860482745948612,3878719
2010-01-12,2.7260165214538574,2.762688697817747,2.70156748581118,2.762688697817747,5980808
2010-01-13,2.7626891136169434,2.7871381529393293,2.713792259061357,2.713792259061357,10826408
2010-01-14,2.9093809127807617,2.9338293401544187,2.8115865912415376,2.836035018615195,12937972
2010-01-15,2.89715576171875,2.9216041824733425,2.884931704352561,2.9093801251071536,2094549
2010-01-18,2.8849315643310547,2.897155621103943,2.8604825327186783,2.8849315643310547,2646076
2010-01-19,2.848259449005127,2.9093806652502163,2.8360347773249286,2.9093806652502163,4014481
2010-01-20,2.933828830718994,2.9460535013165545,2.8482591967585136,2.8604829492893407,6841730
2010-01-21,2.99495005607605,3.0071744194615735,2.9338285451706447,2.9338285451706447,4993023
2010-01-22,2.8849315643310547,2.92160404067192,2.8849315643310547,2.8849315643310547,4214163
2010-01-25,2.89715576171875,2.9216041824733425,2.884931704352561,2.89715576171875,2031291
2010-01-26,2.99495005607605,3.0071744194615735,2.8971557610362875,2.9093801244218116,8755441
2010-01-27,3.0927445888519287,3.129417681827524,2.9949502862948187,2.9949502862948187,9915475
2010-01-28,3.178314685821533,3.208875904183116,3.086632560848052,3.117193167165128,6005525
2010-01-29,3.178314685821533,3.2699974228395217,3.086632560848052,3.178314685821533,7509846
2010-02-01,3.0866317749023438,3.1477529719732713,3.0255102718092406,3.1171923734378075,4310588
2010-02-02,3.1171929836273193,3.2088757152471024,3.0866323791096275,3.1783144986849394,2441677
2010-02-03,3.0866317749023438,3.1477529719732713,3.0560708703447044,3.1477529719732713,2932571
2010-02-04,2.99495005607605,3.0560712609592398,2.9949500560760494,3.0560712609592398,7908057
2010-02-05,2.8849315643310547,2.9093799838990315,2.799361330787636,2.9093799838990315,11998329
2010-02-08,2.7749125957489014,2.872706874947296,2.762687928321396,2.8604822075197904,5476228
2010-02-09,2.8360342979431152,2.848258967556948,2.774913092029493,2.8238105463959426,4490260
2010-02-10,2.848259449005127,2.9093806652502163,2.8360347773249286,2.8604832026185103,4868752
2010-02-11,2.8115859031677246,2.860482745948612,2.7993615394613913,2.8238105728962806,3646580
2010-02-12,2.8360342979431152,2.8727073887179526,2.8115858767821105,2.848258967556948,2980198
2010-02-15,2.8115859031677246,2.8115859031677246,2.7871374817772807,2.8115859031677246,2219054
2010-02-16,2.8115859031677246,2.848258994286724,2.7993615394613913,2.8360343245581685,2399254
2010-02-17,2.89715576171875,2.9216041824733425,2.836034250798947,2.8482589202095654,11718466
2010-02-18,2.89715576171875,2.958276966616338,2.8727073409641575,2.89715576171875,6694593
2010-02-19,2.970501661300659,2.970501661300659,2.8849317288982155,2.8849317288982155,7527699
2010-02-22,2.99495005607605,3.0682959303669786,2.9705016353272162,3.0316228402104066,6753070
2010-02-23,2.89715576171875,2.958276966616338,2.8727073409641575,2.946053215272364,5772047
2010-02-24,2.8360342979431152,2.8849317523095652,2.7871374556211053,2.8360342979431152,5349798
2010-02-25,2.677119016647339,2.8482592030107017,2.664894346022944,2.811586109204252,9754277
2010-02-26,2.7015674114227295,2.7749132922421604,2.664894318001893,2.7626886217463063,13618700
2010-03-01,2.89715576171875,2.9216041824733425,2.823810499454973,2.8482589202095654,10316037
2010-03-02,2.89715576171875,2.9216041824733425,2.8727073409641575,2.9093801251071536,4008800
2010-03-03,2.8604824542999268,2.8971555416798167,2.8115856165044564,2.8727071227820815,5323419
2010-03-04,2.8360342979431152,2.8604827191041204,2.8238105463959426,2.8360342979431152,3179011
2010-03-05,2.9216041564941406,2.9216041564941406,2.836034225580642,2.836034225580642,4487433
2010-03-08,2.970501661300659,3.0071744457556755,2.9460532403380544,2.970501661300659,7449821
2010-03-09,2.9827256202697754,3.0316224555634976,2.970501258435257,3.019398093728979,4190904
2010-03-10,2.9582767486572266,2.994949836120447,2.933828329703938,2.994949836120447,4012312
2010-03-11,2.9216041564941406,2.958276940311038,2.909380099236649,2.946053189075759,2868688
2010-03-12,2.8727076053619385,2.9338288158849903,2.8604829348261878,2.9216044513714827,3594399
2010-03-15,2.848259449005127,2.8604832026185103,2.8360347773249286,2.8604832026185103,2041461
2010-03-16,2.9093809127807617,2.9216049734564415,2.84825969133547,2.860483445988852,3112281
2010-03-17,2.9827256202697754,2.994949676082118,2.9460528407883957,2.9582765905785626,3207932
2010-03-18,2.970501661300659,2.9949500822632644,2.9460532403380544,2.9949500822632644,4182050
2010-03-19,2.970501661300659,2.970501661300659,2.933828570823426,2.9582769917860308,3343150
2010-03-22,2.970501661300659,3.0193985032258692,2.933828570823426,2.933828570823426,4942728
2010-03-23,2.9827256202697754,3.0316224555634976,2.9827256202697754,3.0071740379166365,2191324
2010-03-24,3.0316226482391357,3.0316226482391357,2.982725809837761,2.994949866427007,4698538
2010-03-25,3.0316226482391357,3.056071067439823,2.994949866427007,3.019398285627694,6096051
2010-03-26,3.178314685821533,3.208875904183116,3.0560716485087225,3.0560716485087225,12751202
2010-03-29,3.208875894546509,3.208875894546509,3.117193157803854,3.208875894546509,5258490
2010-03-30,3.178314685821533,3.208875904183116,3.117193167165128,3.178314685821533,2826223
2010-03-31,3.239435911178589,3.239435911178589,3.1171925904595184,3.239435911178589,11389929
2010-04-01,3.239435911178589,3.239435911178589,3.1783140978079554,3.239435911178589,4023795
2010-04-02,3.239435911178589,3.2699968178639054,3.208875310515469,3.239435911178589,1481200
2010-04-05,3.331118583679199,3.3616791895210985,3.239436460131253,3.331118583679199,3867311
2010-04-06,3.331118583679199,3.3616791895210985,3.269997371995401,3.331118583679199,3938259
2010-04-07,3.178314685821533,3.3311186354736733,3.147753773482204,3.178314685821533,7994035
2010-04-08,3.178314685821533,3.208875904183116,3.147753773482204,3.178314685821533,2348542
2010-04-09,3.239435911178589,3.2699968178639054,3.1783140978079554,3.239435911178589,3607943
2010-04-12,3.208875894546509,3.300558019244659,3.208875894546509,3.208875894546509,1525606
2010-04-13,3.208875894546509,3.239436500771808,3.117193157803854,3.208875894546509,2865500
2010-04-14,3.300558567047119,3.331119178344644,3.208876427132241,3.300558567047119,4830883
2010-04-15,3.3616790771484375,3.3616790771484375,3.239436351844866,3.3616790771484375,3137227
2010-04-16,3.2699975967407227,3.3922403345322505,3.2088760748338236,3.2699975967407227,5480700
2010-04-19,3.331118583679199,3.331118583679199,3.0866325128550116,3.331118583679199,11326193
2010-04-20,3.422800302505493,3.483921812984359,3.3311181897983015,3.4228003025054936,5330529
2010-04-21,3.514481782913208,3.6061638791256376,3.453360283430869,3.514481782913208,6395666
2010-04-22,3.4839227199554443,3.606165466714469,3.453361803748969,3.4839227199554443,7285484
2010-04-23,3.514481782913208,3.514481782913208,3.514481782913208,3.514481782913208,0
2010-04-26,3.545043468475342,3.6672861989637493,3.5144828623588027,3.545043468475342,7046848
2010-04-27,3.514481782913208,3.5756029763733896,3.453360283430869,3.514481782913208,6480145
2010-04-28,3.392239809036255,3.514482527891015,3.361678899805898,3.392239809036255,5566076
2010-04-29,3.422800302505493,3.483921812984359,3.392239700277167,3.4228003025054936,3900662
2010-04-30,3.545043468475342,3.606164986730671,3.392240131870395,3.545043468475342,3573703
2010-05-03,3.5940468311309814,3.6565517593791568,3.469036661684377,3.5940468311309814,3844979
2010-05-04,3.562795877456665,3.656553309577456,3.4377853420615043,3.5627958774566646,7193721
2010-05-05,3.4377846717834473,3.562795182804829,3.3440272579428987,3.4377846717834473,6232264
2010-05-06,3.3752806186676025,3.4377855776991004,3.3127753466856973,3.3752806186676025,4456233
2010-05-07,3.156510591506958,3.250268300863574,3.094005347619125,3.1565105915069585,16366919
2010-05-10,3.5002896785736084,3.5315421476330804,3.2190158922868437,3.5002896785736084,10919743
2010-05-11,3.4690372943878174,3.4690372943878174,3.3440271021411188,3.4690372943878174,5354851
2010-05-12,3.5315420627593994,3.5627948440180752,3.4377843448839625,3.5315420627593994,6409277
